atleta_id,nome,apelido,foto,clube_nome,escudos_foto
99119,Lucas Braga Ribeiro,Lucas Braga,https://s.glbimg.com/es/sde/f/2022/03/03/a3607db4d71e6018951bfe51c702fb1a_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
110568,Carlos Alonso Enrique Palacios Núñez,Palacios,https://s.glbimg.com/es/sde/f/2021/05/02/16df5c295bcc48e5f656f03b28f57edd_140x140.png,Internacional,https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter65.png
68832,Ricardo Ribeiro de Lima,Ricardinho,https://s.glbimg.com/es/sde/f/2021/08/05/0e9f7fa212869f0fc9552b825d13bd51_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
101051,Hélio Cunha Borges,Hélio,https://s.glbimg.com/es/sde/f/2022/03/03/e65e3a91a6e182b9532e4a1f232ed495_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
103996,Bruno Felipe Oliveira,Bruno Oliveira,https://s.glbimg.com/es/sde/f/2022/03/03/2c935920c010d4b1c62eafcc3fa72249_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
83438,Guilherme Parede Pinheiro,Guilherme Parede,https://s.glbimg.com/es/sde/f/2022/03/03/fc970f8486208ea64d2857c89a9ea781_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
104080,André Luiz Ribeiro da Silva,André,https://s.glbimg.com/es/sde/f/2022/02/22/644fa239329c76f58f7001e88850b21c_140x140.png,Ceará,https://s.glbimg.com/es/sde/f/organizacoes/2019/10/10/ceara-65x65.png
104521,Vinícius Nelson de Souza Zanocelo,Vinícius Zanocelo,https://s.glbimg.com/es/sde/f/2022/03/03/5ec6c9924511913e6d0657f591187ca0_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
81845,Alisson Euler de Freitas Castro,Alisson,https://s.glbimg.com/es/sde/f/2022/03/01/14ebdbca4e280cd9dfdb9b7e2148afe0_140x140.png,São Paulo,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/sao_paulo_60x60.png
105521,Luan Sales do Nascimento,Luan Sales,https://s.glbimg.com/es/sde/f/2022/03/03/94a00a5bf603d071ddf3460b730e1daf_140x140.png,Atlético-GO,https://s.glbimg.com/es/sde/f/organizacoes/2020/07/02/atletico-go-2020-65.png
104526,Luiz Henrique Augustin ,Luiz Henrique,https://s.glbimg.com/es/sde/f/2021/09/01/c56a57935991ac9d0e49006079fde3db_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
86675,Rodrigo Alves Soares,Rodrigo Soares,https://s.glbimg.com/es/sde/f/2022/03/03/9c3587675488eeeb0991d8754b8cee2b_140x140.png,Juventude,https://s.glbimg.com/es/sde/f/organizacoes/2021/04/29/juventude65.png
104578,Tailson Pinto Gonçalves,Tailson,https://s.glbimg.com/es/sde/f/2022/03/03/87e7063476bfe46f178888a941e34cf6_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
105900,Allan Victor Oliveira Mota,Allanzinho,https://s.glbimg.com/es/sde/f/2022/03/03/ebabed679667fb0d15f64681a6ffdf85_140x140.png,Santos,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png
