atleta_id,nome,apelido,foto,clube_nome,escudos_foto,abreviacao_pos
69345,Mauricio Aníbal Isla Isla,Isla,https://s.glbimg.com/es/sde/f/2022/03/04/8ec95ddf6a4d55c706b7f1a26f39cdbf_140x140.png,Flamengo,https://s.glbimg.com/es/sde/f/organizacoes/2018/04/09/Flamengo-65.png,lat
107959,Vinícius de Lima Ferreira,Vinícius Jaú,https://s.glbimg.com/es/sde/f/2022/02/24/d2f16d173d2ea95a320b574ce1cba648_140x140.png,Avaí,https://s.glbimg.com/es/sde/f/organizacoes/2018/09/04/escudo-avai-65x65.png,ata
115272,Isaac Souza Valença,Isaac,https://s.glbimg.com/es/sde/f/2022/03/03/6f52ecb0f50d779aa6d3a2dedf8c2332_140x140.png,Atlético-GO,https://s.glbimg.com/es/sde/f/organizacoes/2020/07/02/atletico-go-2020-65.png,mei
73800,Rodrigo Caio Coquette Russo,Rodrigo Caio,https://s.glbimg.com/es/sde/f/2021/05/01/361e833ec8151b521da956148bee92e5_140x140.png,Flamengo,https://s.glbimg.com/es/sde/f/organizacoes/2018/04/09/Flamengo-65.png,zag
110517,Andrés Felipe Colorado Sánchez,Andrés,https://s.glbimg.com/es/sde/f/2022/04/06/8155059fe14b7ffca7314dd757501fb1_140x140.png,São Paulo,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/sao_paulo_60x60.png,mei
73992,Rodinei Marcelo de Almeida,Rodinei,https://s.glbimg.com/es/sde/f/2021/11/11/7d0be5ee9dd2ef2474fa545c7e8cd00e_140x140.png,Flamengo,https://s.glbimg.com/es/sde/f/organizacoes/2018/04/09/Flamengo-65.png,lat
113158,Marcus Vinícius Oliveira Alencar,Marquinhos,https://s.glbimg.com/es/sde/f/2021/07/22/1a77be713031951034d96c375842ff0f_140x140.png,São Paulo,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/sao_paulo_60x60.png,ata
102310,Matheus Felipe Santos Nascimento,Matheus Felipe,https://s.glbimg.com/es/sde/f/2022/04/10/aad9afaa6b7f202657ca00027f3d0ddb_140x140.png,Athlético-PR,https://s.glbimg.com/es/sde/f/organizacoes/2019/09/09/Athletico-PR-65x65.png,zag
106540,Eduardo Fraga Capellari,Capellari,https://s.glbimg.com/es/sde/f/2022/02/23/87d740c03c7d93328314e0805a79be9f_140x140.png,Cuiabá,https://s.glbimg.com/es/sde/f/organizacoes/2014/04/16/cuiaba65.png,gol
78248,Gustavo Henrique Vernes,Gustavo Henrique,https://s.glbimg.com/es/sde/f/2022/03/04/feadb3c2956f242a334619e5fdfabdd4_140x140.png,Flamengo,https://s.glbimg.com/es/sde/f/organizacoes/2018/04/09/Flamengo-65.png,zag
